symbol,MarketSigma,trend_strength,noise,MA_Type,MA_Pair,Return,StrategyAggr,WinRate,Sharpe,MaxDrawdown,Trades
ICICIBANK.NS,1.18,5.7,73.07,EMA,10/20,-16.473269286243454,8.686187258084182,0.0,-1.9056950554902674,-11.206402616580002,7
ITC.NS,1.35,8.07,61.94,EMA,10/20,-9.231927088485403,7.074974910052066,0.0,-2.1147953173908354,-9.018600143423615,5
MARUTI.NS,0.94,0.18,98.76,SMA,10/20,6.201870592392811,8.022172556499136,0.4,-1.0333049771360592,-9.093946985504807,5
TATASTEEL.NS,1.44,10.48,54.52,EMA,10/20,3.490853981149611,9.923077156059836,0.5,-0.3595328726986549,-6.548473553307643,6
3MINDIA.NS,1.73,5.21,80.53,SMA,12/26,14.022100122178461,5.639159947943944,1.0,-0.1741546127378933,-1.5658837248042623,3
ABB.NS,2.19,4.51,85.58,SMA,10/20,8.861245700438403,5.830995624135764,0.6,0.9446885703677161,-1.589748530686974,5
ACC.NS,1.23,5.41,72.27,EMA,10/20,-11.091134128290648,6.98330065292432,0.14285714285714285,-2.3979812363039095,-14.719785015233555,7
ACMESOLAR.NS,2.5,8.87,78.31,SMA,12/26,3.468643491024115,7.427725813662467,0.6,-0.06945360844873355,-2.821025916345332,5
AIAENG.NS,1.69,1.52,94.26,SMA,20/50,5.9380104965707226,4.000562773381614,1.0,-0.24887852682125144,-1.3233900791589037,2
APLAPOLLO.NS,1.75,5.75,78.29,SMA,10/20,7.5820574401958,8.118436707488694,0.6,0.37914260148437867,-4.64871453900707,5
AUBANK.NS,1.38,4.12,83.06,SMA,10/20,2.7016288662932153,5.809308514622864,0.6,0.010873545575881122,-3.932502652620151,5
AWL.NS,1.32,9.05,60.32,EMA,10/20,-2.752600185367915,6.894464564758833,0.2,-1.5951317773510358,-8.34765365964969,5
AADHARHFC.NS,1.32,5.26,73.0,EMA,50/200,-1.8058181765928438,2.609291980070566,0.0,-2.339471902330168,-1.505326540064833,2
AARTIIND.NS,2.28,8.58,74.92,EMA,12/26,4.991050478380998,4.761955334552481,0.6,-0.8195273113508297,-3.318801252848369,5
AAVAS.NS,1.56,0.55,97.12,SMA,10/20,-1.5158672094928494,5.192893586212077,0.4,-1.8141969319235531,-5.298235141548979,5
ABBOTINDIA.NS,1.26,5.29,73.27,EMA,10/20,3.630963406486676,8.478454091241659,0.4,-0.0628962103242834,-3.5562499874492115,5
ACE.NS,2.12,7.12,80.43,SMA,10/20,-2.844168860927687,6.14440904606395,0.4,-0.9942199281822919,-5.770312787556275,5
ADANIENSOL.NS,2.5,11.19,72.31,EMA,10/20,-0.06995117324799516,5.349892301691356,0.6,-1.3737681298928857,-3.8270451079738477,5
ADANIENT.NS,2.66,7.22,80.47,SMA,12/26,0.7386793901355215,5.233052233151665,0.4,-1.1880769383450023,-5.163017286834782,5
ADANIGREEN.NS,2.67,2.8,93.15,SMA,10/20,-1.267484351097381,4.16819661192032,0.6,-2.275683204991715,-6.142445872887603,5
ADANIPORTS.NS,1.19,0.77,96.29,SMA,12/26,2.2628891144003127,6.186360328498617,0.4,-0.44422078331793136,-4.223791718598546,5
ADANIPOWER.NS,1.76,7.93,69.53,EMA,10/20,5.240019836755239,6.500990405047107,0.6666666666666666,-0.504913908946654,-4.941427182000046,6
ATGL.NS,1.78,10.05,60.5,EMA,10/20,17.351723774688388,21.625755040285995,0.5,0.4662844648143115,-8.38536981510053,6
