symbol,volatility,trend_strength,noise,MA_Type,MA_Pair,Return,Volatility,WinRate,Sharpe,MaxDrawdown,Trades
ICICIBANK.NS,1.46,0.13,99.48,SMA,10/20,-4.302504212359459,9.518861943224904,0.3333333333333333,-1.0085102948770024,-9.340764469695062,6
ITC.NS,1.8,3.37,87.04,SMA,10/20,-13.720457408749631,4.5578344674414994,0.0,-2.931462634403053,-7.941234745218539,5
MARUTI.NS,1.62,9.11,68.16,EMA,10/20,0.8597936642726678,5.487067554310213,0.4,-1.0249239890310762,-5.027947803853483,5
TATASTEEL.NS,2.35,10.46,72.24,EMA,12/26,-1.059989921938076,11.367853225133906,0.5,-0.16749157607487247,-6.5484735533076215,6
3MINDIA.NS,1.73,5.21,80.53,SMA,12/26,14.022100122178461,5.639159947943944,1.0,-0.1741546127378933,-1.5658837248042623,3
ABB.NS,2.92,14.2,63.98,EMA,10/20,-5.032965561647751,8.043792666266524,0.375,-0.6996593706450241,-8.21567942322442,8
ACC.NS,1.47,2.1,91.17,SMA,10/20,1.4354111459591534,5.210183454984716,0.5,-0.5157597004582111,-3.7821463675457245,6
ACMESOLAR.NS,2.5,8.87,78.31,SMA,12/26,3.468643491024115,7.427725813662467,0.6,-0.06945360844873355,-2.821025916345332,5
AIAENG.NS,1.69,1.52,94.26,SMA,20/50,5.9380104965707226,4.000562773381614,1.0,-0.24887852682125144,-1.3233900791589037,2
APLAPOLLO.NS,1.75,5.75,78.29,SMA,10/20,7.5820574401958,8.118436707488694,0.6,0.37914260148437867,-4.64871453900707,5
AUBANK.NS,1.91,0.82,96.85,SMA,50/200,2.379505966087514,2.6746396914161075,1.0,-1.829443167582909,-0.8483397522639824,1
AWL.NS,1.32,9.05,60.32,EMA,10/20,-2.752600185367915,6.894464564758833,0.2,-1.5951317773510358,-8.34765365964969,5
AADHARHFC.NS,1.32,5.26,73.0,EMA,50/200,-1.8058181765928438,2.609291980070566,0.0,-2.339471902330168,-1.505326540064833,2
