Symbol,Fast,Slow,Sharpe,WinRate,Trades,TotalReturn,MaxDD
HDFCBANK.NS,5,30,1.25,16.67,6,3.44,-7.01
HDFCBANK.NS,5,40,1.1,20.0,5,3.46,-7.54
HDFCBANK.NS,5,20,1.08,37.5,8,0.42,-8.04
HDFCBANK.NS,5,50,0.9,40.0,5,8.61,-6.75
