symbol,MarketSigma,trend_strength,noise,MA_Type,MA_Pair,Return,StrategyAggr,WinRate,Sharpe,MaxDrawdown,Trades
3MINDIA.NS,1.73,5.21,80.53,SMA,12/26,14.022100122178461,5.639159947943944,1.0,-0.1741546127378933,-1.5658837248042623,3
ACMESOLAR.NS,2.5,8.87,78.31,SMA,12/26,3.468643491024115,7.427725813662467,0.6,-0.06945360844873355,-2.821025916345332,5
AIAENG.NS,1.69,1.52,94.26,SMA,20/50,5.9380104965707226,4.000562773381614,1.0,-0.24887852682125144,-1.3233900791589037,2
APLAPOLLO.NS,1.75,5.75,78.29,SMA,10/20,7.5820574401958,8.118436707488694,0.6,0.37914260148437867,-4.64871453900707,5
AWL.NS,1.32,9.05,60.32,EMA,10/20,-2.752600185367915,6.894464564758833,0.2,-1.5951317773510358,-8.34765365964969,5
AADHARHFC.NS,1.32,5.26,73.0,EMA,50/200,-1.8058181765928438,2.609291980070566,0.0,-2.339471902330168,-1.505326540064833,2
AAVAS.NS,1.56,0.55,97.12,SMA,10/20,-1.5158672094928494,5.192893586212077,0.4,-1.8141969319235531,-5.298235141548979,5
ACE.NS,2.12,7.12,80.43,SMA,10/20,-2.844168860927687,6.14440904606395,0.4,-0.9942199281822919,-5.770312787556275,5
ADANIPOWER.NS,1.76,7.93,69.53,EMA,10/20,5.240019836755239,6.500990405047107,0.6666666666666666,-0.504913908946654,-4.941427182000046,6
ATGL.NS,1.78,10.05,60.5,EMA,10/20,17.351723774688388,21.625755040285995,0.5,0.4662844648143115,-8.38536981510053,6
ABLBL.NS,1.97,15.3,52.1,EMA,50/100,-1.5345679012345737,3.5718398135383604,0.0,-3.154988305749279,-2.792235625497519,1
ABREL.NS,2.2,29.8,30.49,EMA,10/20,-2.8943289624322355,5.617849944302756,0.2857142857142857,-1.4233412173947322,-3.6914982721445666,7
ABSLAMC.NS,1.93,9.02,69.09,EMA,10/20,-7.0348120398987195,7.214761682004298,0.0,-1.4285663554907262,-5.595976777725442,5
AEGISLOG.NS,2.44,4.02,88.85,SMA,10/20,-7.027562233319884,4.825749686178539,0.16666666666666666,-3.0647989812959473,-7.701022490313925,6
AEGISVOPAK.NS,3.38,4.55,91.51,SMA,12/26,12.238243847763663,11.06224046516785,1.0,0.8452268658560737,-1.1481056257175548,2
AFCONS.NS,1.15,12.59,43.62,EMA,10/20,-6.5174650896898,7.1396260535894,0.16666666666666666,-1.6681315578333413,-7.891122503991566,6
AFFLE.NS,1.63,12.46,53.84,EMA,12/26,1.7703252922400825,9.940136369215406,0.5,-0.34124250795602196,-5.158625065278533,6
AJANTPHARM.NS,1.27,4.36,76.91,SMA,10/20,4.475913632458295,7.6771195611803,0.5,-0.08072051130786782,-6.961700634246448,6
AKUMS.NS,1.32,1.91,90.12,SMA,12/26,-8.31304360902826,5.618219582933551,0.0,-1.8661327503637741,-4.454278998699435,5
AKZOINDIA.NS,1.35,11.43,47.52,EMA,10/20,5.010632517143088,12.627132384678626,0.25,0.30992581293352434,-3.489528489528515,4
APLLTD.NS,1.07,6.62,62.66,EMA,10/20,-9.557866879101251,7.612509305809949,0.16666666666666666,-1.62380953131003,-8.211489420755825,6
ALKYLAMINE.NS,2.32,1.31,96.53,SMA,50/200,0.0,0.0,0.0,0.0,0.0,0
ALOKINDS.NS,2.08,6.46,81.04,SMA,10/20,-9.304789365155708,5.996897361913894,0.16666666666666666,-2.5006176593440057,-7.944562005718625,6
ARE&M.NS,1.04,11.82,41.08,EMA,10/20,-2.6250104591163392,7.646108650289907,0.42857142857142855,-0.7095178875180981,-3.8908799145651596,7
AMBER.NS,2.32,10.62,70.48,EMA,12/26,-13.355148048819732,9.7085718313007,0.16666666666666666,-1.831736538477867,-10.680249695129806,6
ANANDRATHI.NS,1.1,8.08,57.64,EMA,10/20,5.269869626279733,6.393722397059949,0.6666666666666666,-0.605697512840425,-4.168165243370769,6
ANANTRAJ.NS,3.15,5.08,89.36,SMA,20/50,5.031886652343243,3.050600262614902,1.0,-1.0597664809538758,0.0,2
ANGELONE.NS,4.12,7.32,88.64,SMA,12/26,-3.731841320411222,4.714941974215997,0.375,-1.6354128195679614,-10.207631504887493,8
APARINDS.NS,2.4,0.12,99.68,SMA,10/20,8.642667533174908,8.96124877900905,0.8,0.5633399404321023,-3.5788202828561544,5
APTUS.NS,1.71,7.25,74.55,EMA,10/20,0.2674742177207312,5.9364575322973305,0.4,-0.7753186894460153,-4.739137523047132,5
ASAHIINDIA.NS,2.78,2.07,95.52,SMA,12/26,4.089271566452002,8.083930422092655,0.8,-0.2405750368046004,-3.8509170254172442,5
ASTERDM.NS,2.2,9.3,73.79,EMA,50/100,-1.451056977155074,3.6705243782518466,0.5,-1.8391621093017674,-1.578793489913266,2
ASTRAZEN.NS,0.93,2.27,84.73,SMA,12/26,2.3353994929314226,6.652618617716081,0.4,-0.6539411986730503,-5.127374347084579,5
ATHERENERG.NS,2.89,11.44,75.5,SMA,10/20,0.42224045914698305,6.995208447003735,0.75,-0.8743961422088047,-4.965526847273505,4
AIIL.NS,3.45,17.75,68.58,EMA,20/50,15.646239327602673,10.924784213138393,0.75,-1.1314699346206203,-10.547844080473535,4
BASF.NS,1.31,8.3,60.13,EMA,10/20,-4.283317573468571,10.079072490607697,0.125,-0.9692676135937567,-9.466634929193818,8
BEML.NS,3.19,7.96,81.95,SMA,10/20,3.5885566655100343,11.010091666704346,0.4,0.11993961940530824,-4.708726467507929,5
BLS.NS,1.76,19.67,44.67,EMA,12/26,-5.926484129171916,9.187447662765996,0.5714285714285714,0.3356791887178142,-4.749536178107605,7
BAJAJHLDNG.NS,1.09,5.42,66.62,EMA,12/26,6.475194331841561,6.371830049180149,0.6666666666666666,0.24361824320020242,-1.2815563962016663,6
BAJAJHFL.NS,1.3,7.95,63.75,EMA,10/20,-9.379362725681784,4.769808328526907,0.16666666666666666,-2.7355997753375787,-7.603921852320717,6
MAHABANK.NS,2.35,4.19,86.46,SMA,10/20,-4.264930701970093,5.794899404768093,0.2857142857142857,-1.3375929599953182,-6.248192376286232,7
BAYERCROP.NS,0.86,3.02,76.99,SMA,10/20,6.410822698423035,5.631035298138596,0.4,-1.2605236351098559,-5.267526587973803,5
BDL.NS,3.47,13.98,70.28,EMA,10/20,-3.1974060365408508,6.640255983615277,0.375,-0.877880325222943,-5.513314294064953,8
BHARTIHEXA.NS,1.76,12.32,59.62,EMA,10/20,-13.703220058507204,12.10709218357901,0.2857142857142857,-1.1853280477155472,-12.429081679193132,7
BIKAJI.NS,1.56,8.69,61.86,EMA,12/26,-2.4946528463295925,9.184442072866416,0.5,0.06493662742475569,-3.570482246952811,8
BLUEDART.NS,1.28,3.26,84.76,SMA,12/26,-7.830689748917374,6.7743434377725675,0.0,-2.2939640725646604,-10.414515223340647,5
BLUEJET.NS,1.85,22.45,38.99,EMA,20/50,13.284295113861955,6.482165715304336,0.6666666666666666,0.39631313581874933,-1.1309631233832662,3
BLUESTARCO.NS,1.81,0.58,97.99,SMA,12/26,-7.490166366338357,4.979711669927017,0.0,-2.5403887355244787,-5.953019068758092,5
BBTC.NS,1.99,8.1,75.77,SMA,12/26,7.19254378885863,6.381687283661286,0.8,-0.30699362575201683,-2.462447672986945,5
FIRSTCRY.NS,2.38,10.26,73.07,EMA,12/26,4.6124645722475766,4.91023826479819,0.5,-0.44831320239255423,-2.5060384577477057,4
BRIGADE.NS,1.63,18.15,42.23,EMA,12/26,2.1761690467337003,2.91105304591581,0.6666666666666666,-1.0929293242862652,-1.0822407628128583,3
MAPMYINDIA.NS,1.96,27.77,36.75,EMA,10/20,-10.690113364687704,10.654630051794648,0.2,-1.324885851867947,-10.564037061889609,5
CCL.NS,1.9,3.79,86.94,SMA,10/20,11.577249857341897,8.715856134636162,0.75,0.09770122643051146,-3.8938049504624095,4
CGPOWER.NS,3.26,5.72,87.71,SMA,10/20,6.573124748593062,6.79754313561239,0.5,-0.14610876339133616,-2.5530581877985736,6
CRISIL.NS,2.18,8.64,72.92,EMA,50/200,4.164285714285709,2.1325224963553513,1.0,-1.5039635868025079,0.0,1
CAMPUS.NS,2.17,4.49,85.02,SMA,10/20,4.772771955141253,4.270728991926812,0.6,-1.8130110542466047,-4.357081789111539,5
CAPLIPOINT.NS,1.49,2.47,89.71,SMA,10/20,-2.828530730195067,9.16850975440204,0.375,-0.5377798625699172,-4.411913175164084,8
CGCL.NS,2.11,11.01,66.7,EMA,10/20,-29.139167930923215,16.21469788441116,0.0,-2.021570097042957,-23.57658062619674,8
CARBORUNIV.NS,1.85,12.14,60.56,EMA,10/20,0.8780507222346801,3.5859151971489345,0.4,-0.9136370118202715,-2.7767157961379407,5
CEATLTD.NS,2.47,1.69,95.49,SMA,20/50,4.640866962269863,6.756323557429403,1.0,-0.21440807564068867,-3.959226377204206,2
CENTRALBK.NS,1.74,5.68,79.22,SMA,10/20,6.272949299692843,9.190848226982494,0.5714285714285714,0.12588036934560665,-3.5470969782174455,7
CENTURYPLY.NS,2.64,0.68,98.24,SMA,12/26,-0.7037077827492744,3.826836582816094,0.6,-1.3339590827370207,-1.8172640080767466,5
CERA.NS,1.24,3.12,83.99,SMA,10/20,-2.9034243649738167,6.427845241293542,0.4,-1.7131015229661886,-5.704016891750041,5
CHALET.NS,1.68,2.13,91.2,SMA,10/20,-5.396336063442786,7.761242702149215,0.42857142857142855,-0.9683214879149024,-6.218276084654562,7
CHENNPETRO.NS,2.87,6.25,86.4,SMA,12/26,20.070596759744163,14.317981081148709,0.6666666666666666,1.1705485645947409,-1.0058867234383095,6
CHOICEIN.NS,1.76,11.17,59.63,EMA,50/200,4.830964587454933,7.911451540620955,1.0,0.33102277623879656,0.0,2
CHOLAHLDNG.NS,2.01,14.14,54.14,EMA,10/20,-2.5031510329062034,9.401624716948948,0.3333333333333333,-0.7501575877717354,-10.1145730878485,6
CLEAN.NS,1.77,7.5,65.9,EMA,10/20,-0.12816517931719673,2.8417396067287095,0.5,-1.9862191930452477,-2.1213136729222537,2
COCHINSHIP.NS,2.76,7.24,81.72,SMA,10/20,0.6294170687481504,6.801886586342593,0.5,-0.6891973743602778,-4.202761234434216,4
COHANCE.NS,1.77,27.77,31.47,EMA,10/20,-5.70353585515071,5.098038942120355,0.16666666666666666,-1.663701101109775,-2.9368503628162346,6
CAMS.NS,1.85,7.73,75.11,SMA,10/20,5.793511169208099,8.099312988408174,0.5,0.5067165037640575,-2.9261954359330433,8
CONCORDBIO.NS,1.93,17.1,51.86,EMA,10/20,9.182396981435236,5.182153997766426,0.75,-0.32861115185494777,-1.3850559750064995,4
CRAFTSMAN.NS,2.79,6.38,85.05,SMA,10/20,4.934861223172993,13.38769893700637,0.42857142857142855,0.40065856462008914,-3.718116884839584,7
CREDITACC.NS,3.67,6.48,88.1,SMA,12/26,3.0478986925972285,6.954763881875267,0.5,-0.7325771277683593,-7.802959448684621,6
CYIENT.NS,2.3,2.13,93.81,SMA,10/20,-10.351297926479186,6.740198776057939,0.14285714285714285,-1.6856734637446142,-7.400491312450274,7
ASTERDM.NS,2.2,9.3,73.79,EMA,50/100,-1.451056977155074,3.6705243782518466,0.5,-1.8391621093017674,-1.578793489913266,2
ASTRAZEN.NS,0.93,2.27,84.73,SMA,12/26,2.3353994929314226,6.652618617716081,0.4,-0.6539411986730503,-5.127374347084579,5
ATHERENERG.NS,2.89,11.44,75.5,SMA,10/20,0.42224045914698305,6.995208447003735,0.75,-0.8743961422088047,-4.965526847273505,4
AIIL.NS,3.45,17.75,68.58,EMA,20/50,15.646239327602673,10.924784213138393,0.75,-1.1314699346206203,-10.547844080473535,4
BASF.NS,1.31,8.3,60.13,EMA,10/20,-4.283317573468571,10.079072490607697,0.125,-0.9692676135937567,-9.466634929193818,8
BEML.NS,3.19,7.96,81.95,SMA,10/20,3.5885566655100343,11.010091666704346,0.4,0.11993961940530824,-4.708726467507929,5
BLS.NS,1.76,19.67,44.67,EMA,12/26,-5.926484129171916,9.187447662765996,0.5714285714285714,0.3356791887178142,-4.749536178107605,7
BAJAJHLDNG.NS,1.09,5.42,66.62,EMA,12/26,6.475194331841561,6.371830049180149,0.6666666666666666,0.24361824320020242,-1.2815563962016663,6
BAJAJHFL.NS,1.3,7.95,63.75,EMA,10/20,-9.379362725681784,4.769808328526907,0.16666666666666666,-2.7355997753375787,-7.603921852320717,6
MAHABANK.NS,2.35,4.19,86.46,SMA,10/20,-4.264930701970093,5.794899404768093,0.2857142857142857,-1.3375929599953182,-6.248192376286232,7
BAYERCROP.NS,0.86,3.02,76.99,SMA,10/20,6.410822698423035,5.631035298138596,0.4,-1.2605236351098559,-5.267526587973803,5
BDL.NS,3.47,13.98,70.28,EMA,10/20,-3.1974060365408508,6.640255983615277,0.375,-0.877880325222943,-5.513314294064953,8
BHARTIHEXA.NS,1.76,12.32,59.62,EMA,10/20,-13.703220058507204,12.10709218357901,0.2857142857142857,-1.1853280477155472,-12.429081679193132,7
BIKAJI.NS,1.56,8.69,61.86,EMA,12/26,-2.4946528463295925,9.184442072866416,0.5,0.06493662742475569,-3.570482246952811,8
BLUEDART.NS,1.28,3.26,84.76,SMA,12/26,-7.830689748917374,6.7743434377725675,0.0,-2.2939640725646604,-10.414515223340647,5
BLUEJET.NS,1.85,22.45,38.99,EMA,20/50,13.284295113861955,6.482165715304336,0.6666666666666666,0.39631313581874933,-1.1309631233832662,3
BLUESTARCO.NS,1.81,0.58,97.99,SMA,12/26,-7.490166366338357,4.979711669927017,0.0,-2.5403887355244787,-5.953019068758092,5
BBTC.NS,1.99,8.1,75.77,SMA,12/26,7.19254378885863,6.381687283661286,0.8,-0.30699362575201683,-2.462447672986945,5
FIRSTCRY.NS,2.38,10.26,73.07,EMA,12/26,4.6124645722475766,4.91023826479819,0.5,-0.44831320239255423,-2.5060384577477057,4
BRIGADE.NS,1.63,18.15,42.23,EMA,12/26,2.1761690467337003,2.91105304591581,0.6666666666666666,-1.0929293242862652,-1.0822407628128583,3
MAPMYINDIA.NS,1.96,27.77,36.75,EMA,10/20,-10.690113364687704,10.654630051794648,0.2,-1.324885851867947,-10.564037061889609,5
CCL.NS,1.9,3.79,86.94,SMA,10/20,11.577249857341897,8.715856134636162,0.75,0.09770122643051146,-3.8938049504624095,4
CGPOWER.NS,3.26,5.72,87.71,SMA,10/20,6.573124748593062,6.79754313561239,0.5,-0.14610876339133616,-2.5530581877985736,6
CRISIL.NS,2.18,8.64,72.92,EMA,50/200,4.164285714285709,2.1325224963553513,1.0,-1.5039635868025079,0.0,1
CAMPUS.NS,2.17,4.49,85.02,SMA,10/20,4.772771955141253,4.270728991926812,0.6,-1.8130110542466047,-4.357081789111539,5
CAPLIPOINT.NS,1.49,2.47,89.71,SMA,10/20,-2.828530730195067,9.16850975440204,0.375,-0.5377798625699172,-4.411913175164084,8
CGCL.NS,2.11,11.01,66.7,EMA,10/20,-29.139167930923215,16.21469788441116,0.0,-2.021570097042957,-23.57658062619674,8
CARBORUNIV.NS,1.85,12.14,60.56,EMA,10/20,0.8780507222346801,3.5859151971489345,0.4,-0.9136370118202715,-2.7767157961379407,5
CEATLTD.NS,2.47,1.69,95.49,SMA,20/50,4.640866962269863,6.756323557429403,1.0,-0.21440807564068867,-3.959226377204206,2
CENTRALBK.NS,1.74,5.68,79.22,SMA,10/20,6.272949299692843,9.190848226982494,0.5714285714285714,0.12588036934560665,-3.5470969782174455,7
CENTURYPLY.NS,2.64,0.68,98.24,SMA,12/26,-0.7037077827492744,3.826836582816094,0.6,-1.3339590827370207,-1.8172640080767466,5
CERA.NS,1.24,3.12,83.99,SMA,10/20,-2.9034243649738167,6.427845241293542,0.4,-1.7131015229661886,-5.704016891750041,5
CHALET.NS,1.68,2.13,91.2,SMA,10/20,-5.396336063442786,7.761242702149215,0.42857142857142855,-0.9683214879149024,-6.218276084654562,7
CHENNPETRO.NS,2.87,6.25,86.4,SMA,12/26,20.070596759744163,14.317981081148709,0.6666666666666666,1.1705485645947409,-1.0058867234383095,6
CHOICEIN.NS,1.76,11.17,59.63,EMA,50/200,4.830964587454933,7.911451540620955,1.0,0.33102277623879656,0.0,2
CHOLAHLDNG.NS,2.01,14.14,54.14,EMA,10/20,-2.5031510329062034,9.401624716948948,0.3333333333333333,-0.7501575877717354,-10.1145730878485,6
CLEAN.NS,1.77,7.5,65.9,EMA,10/20,-0.12816517931719673,2.8417396067287095,0.5,-1.9862191930452477,-2.1213136729222537,2
COCHINSHIP.NS,2.76,7.24,81.72,SMA,10/20,0.6294170687481504,6.801886586342593,0.5,-0.6891973743602778,-4.202761234434216,4
COHANCE.NS,1.77,27.77,31.47,EMA,10/20,-5.70353585515071,5.098038942120355,0.16666666666666666,-1.663701101109775,-2.9368503628162346,6
CAMS.NS,1.85,7.73,75.11,SMA,10/20,5.793511169208099,8.099312988408174,0.5,0.5067165037640575,-2.9261954359330433,8
CONCORDBIO.NS,1.93,17.1,51.86,EMA,10/20,9.182396981435236,5.182153997766426,0.75,-0.32861115185494777,-1.3850559750064995,4
