Symbol,Volatility,TrendStrength,Noise,MA_Type,MA_Pair,Return,WinRate,Sharpe,MaxDD,Trades
MAHABANK.NS,2.35,4.19,86.46,SMA,10/20,-4.26,28.57,0.61,-14.5,7
MAHABANK.NS,2.35,4.19,86.46,SMA,12/26,-17.46,28.57,0.93,-12.84,7
