symbol,MarketSigma,trend_strength,noise,MA_Type,MA_Pair,Return,StrategyAggr,WinRate,Sharpe,MaxDrawdown,Trades
ICICIBANK.NS,1.18,5.7,73.07,EMA,50/200,-6.411635102048052,5.573153959669246,0.2,-1.5760727449496346,-5.451446069504162,5
ITC.NS,1.35,8.07,61.94,EMA,10/20,-14.477365472735748,6.554137240519567,0.125,-1.7505991544413724,-10.513682262284973,8
MARUTI.NS,0.94,0.18,98.76,SMA,12/26,14.441321926508,6.340165080251986,0.6666666666666666,-0.12311275346329469,-2.7431906614785895,6
TATASTEEL.NS,1.44,10.48,54.52,EMA,20/50,15.136609384112765,8.237532011303179,0.8,0.3612173215439197,-4.189044038668099,5
3MINDIA.NS,1.73,5.21,80.53,SMA,12/26,14.022100122178461,5.639159947943944,1.0,-0.1741546127378933,-1.5658837248042623,3
ABB.NS,2.19,4.51,85.58,SMA,10/20,7.862057321273408,6.908380330180977,0.5,0.2302508991724826,-5.895171229952045,8
ACC.NS,1.23,5.41,72.27,EMA,20/50,-5.937134019740908,3.7662205667596282,0.2,-2.7363397705801256,-7.969713596786054,5
ACMESOLAR.NS,2.5,8.87,78.31,SMA,12/26,3.468643491024115,7.427725813662467,0.6,-0.06945360844873355,-2.821025916345332,5
AIAENG.NS,1.69,1.52,94.26,SMA,20/50,5.9380104965707226,4.000562773381614,1.0,-0.24887852682125144,-1.3233900791589037,2
APLAPOLLO.NS,1.75,5.75,78.29,SMA,10/20,7.5820574401958,8.118436707488694,0.6,0.37914260148437867,-4.64871453900707,5
AUBANK.NS,1.38,4.12,83.06,SMA,10/20,8.731876466116638,5.808748144831591,0.8,-0.05752643605170374,-3.0900105930572463,5
AWL.NS,1.32,9.05,60.32,EMA,10/20,-2.752600185367915,6.894464564758833,0.2,-1.5951317773510358,-8.34765365964969,5
AADHARHFC.NS,1.32,5.26,73.0,EMA,50/200,-1.8058181765928438,2.609291980070566,0.0,-2.339471902330168,-1.505326540064833,2
AARTIIND.NS,2.28,8.58,74.92,EMA,12/26,6.181438723755317,4.4838038957664175,0.625,-0.5259913007456508,-3.33875815216661,8
AAVAS.NS,1.56,0.55,97.12,SMA,10/20,-1.5158672094928494,5.192893586212077,0.4,-1.8141969319235531,-5.298235141548979,5
ABBOTINDIA.NS,1.26,5.29,73.27,EMA,12/26,-2.5559171080165033,6.3728155346918225,0.3333333333333333,-1.17126033497429,-5.237423706002953,6
ACE.NS,2.12,7.12,80.43,SMA,10/20,-2.844168860927687,6.14440904606395,0.4,-0.9942199281822919,-5.770312787556275,5
ADANIENSOL.NS,2.5,11.19,72.31,EMA,12/26,-0.8705783289648328,5.807599083910164,0.4,-0.8320392466090701,-4.374802638526399,10
