Symbol,Volatility,TrendStrength,Noise,MA_Type,MA_Pair,Return,WinRate,Sharpe,MaxDD,Trades
BAJAJHLDNG.NS,1.18,5.31,67.52,EMA,10/20,0,0,-1.92,-19.63,0
BAJAJHLDNG.NS,1.18,5.31,67.52,EMA,12/26,0,0,-1.92,-19.63,0
BAJAJHLDNG.NS,1.18,5.31,67.52,EMA,20/50,0,0,-1.92,-19.63,0
BAJAJHLDNG.NS,1.18,5.31,67.52,EMA,50/100,0,0,-1.92,-19.63,0
BAJAJHLDNG.NS,1.18,5.31,67.52,EMA,50/200,0,0,-1.92,-19.63,0
