symbol,MarketSigma,trend_strength,noise,MA_Type,MA_Pair,Return,StrategyAggr,WinRate,Sharpe,MaxDrawdown,Trades
HEROMOTOCO.NS,1.62,5.74,78.13,SMA,10/20,0.5291000435005744,5.41848045287938,0.4375,-0.8486184251051875,-6.617730210567318,16
HEROMOTOCO.NS,1.62,5.74,78.13,SMA,12/26,-7.759050299795289,4.794714657263112,0.45454545454545453,-1.2516150017320453,-6.471613442466273,11
