Date,Open,High,Low,Close,Volume
2026-02-16,98.01,100.65,96.2,99.81,13225540
2026-02-17,99.4,99.98,97.39,98.51,12170149
2026-02-18,98.75,100.17,97.62,98.04,9729228
2026-02-19,98.04,98.67,94.78,95.48,10789982
2026-02-20,95.0,96.38,94.6,94.91,6625030
2026-02-23,95.1,96.49,94.14,95.34,7088081
2026-02-24,95.3,95.34,93.21,94.54,7043891
2026-02-25,94.9,95.93,93.74,94.63,10414932
2026-02-26,94.5,95.5,93.15,94.06,7125794
2026-02-27,94.8,95.39,92.21,92.67,14082018
2026-03-02,86.05,90.82,86.05,89.36,13260337
2026-03-04,87.0,87.26,85.0,85.63,13414288
2026-03-05,86.38,87.3,84.91,86.85,10690095
2026-03-06,86.4,88.39,85.41,85.64,8972368
2026-03-09,83.7,85.0,81.4,84.44,11986742
2026-03-10,86.0,87.5,85.31,87.04,7716371
2026-03-11,87.0,88.39,85.89,86.16,7826947
2026-03-12,85.35,87.98,84.41,86.58,9325823
2026-03-13,85.94,86.31,83.0,83.2,8554912
2026-03-16,83.2,83.75,80.25,82.88,13948339
2026-03-17,83.14,84.08,81.91,83.13,9088928
2026-03-18,83.53,88.68,83.44,88.44,19158052
2026-03-19,86.35,86.76,82.52,83.14,21115461
2026-03-20,84.2,86.3,83.6,83.91,13414557
2026-03-23,82.9,82.96,78.87,79.09,12197511
2026-03-24,82.0,82.67,80.0,81.85,12914765
2026-03-25,83.0,85.35,82.58,84.52,12579198
2026-03-27,83.5,83.69,80.3,80.53,12115051
2026-03-30,79.5,80.66,77.18,77.52,14774475
2026-04-01,81.1,84.09,80.11,82.79,15853541
2026-04-02,80.5,83.5,79.29,83.09,11834423
2026-04-06,83.09,84.62,81.53,84.34,12396717
2026-04-07,83.6,84.46,82.59,84.16,7862081
2026-04-08,88.4,89.25,86.91,88.73,12193416
2026-04-09,88.46,89.4,86.5,87.83,11318643
2026-04-10,88.26,90.2,88.25,89.18,9362242
2026-04-13,86.99,89.0,85.72,88.65,8880605
2026-04-15,90.99,91.6,90.3,91.0,7702468
2026-04-16,92.3,93.5,91.1,93.05,12866006
2026-04-17,93.25,94.57,92.83,94.32,11203110
2026-04-20,94.32,94.88,92.09,93.32,13841641
2026-04-21,93.87,94.48,93.1,93.28,7224140
2026-04-22,93.22,94.74,92.82,94.2,11345558
2026-04-23,93.44,94.6,93.0,93.31,7892606
2026-04-24,93.6,94.18,91.26,93.2,9129145
2026-04-27,94.62,96.5,94.13,95.41,13917958
2026-04-28,95.5,95.88,94.0,94.63,7329263
2026-04-29,94.98,95.72,93.0,93.2,7628032
2026-04-30,93.0,93.0,90.8,91.65,9010740
2026-05-04,92.95,93.71,91.75,92.52,6598368
2026-05-05,92.8,93.2,91.4,92.92,5822486
2026-05-06,94.0,96.6,93.62,94.94,13278543
2026-05-07,95.44,97.35,94.16,96.85,15140136
2026-05-08,97.4,101.95,96.7,100.64,45653530
2026-05-11,100.39,100.47,95.5,95.7,20845127
2026-05-12,95.7,96.36,92.39,92.66,12417621
2026-05-13,92.94,95.5,92.83,94.88,12838455
2026-05-14,96.7,97.0,93.63,95.49,14444893
2026-05-15,95.5,95.74,93.5,93.82,7648496
2026-05-18,92.7,92.7,89.83,91.66,9136004
2026-05-19,91.83,94.16,91.72,93.08,6091227
