Date,Open,High,Low,Close,Volume
2024-12-03,360.4,369.9,359.95,367.9,386862
2024-12-04,368.0,370.0,355.35,364.45,332195
2024-12-05,364.7,372.5,364.7,368.65,284391
2024-12-06,369.0,372.6,365.35,369.25,127067
2024-12-09,369.1,371.95,365.4,366.95,121714
2024-12-10,367.0,374.0,361.35,368.45,248253
2024-12-11,370.05,385.65,369.0,370.25,1055617
2024-12-12,374.0,374.0,365.05,366.8,128646
2024-12-13,367.7,369.0,352.15,365.55,332983
2024-12-16,362.3,369.9,359.3,361.55,90365
2024-12-17,359.6,362.0,356.4,359.0,153894
2024-12-18,356.0,362.9,356.0,357.05,100109
2024-12-19,353.8,357.9,352.95,355.2,84566
2024-12-20,356.3,367.95,348.95,352.85,392150
2024-12-23,352.85,358.2,348.6,352.9,139934
2024-12-24,352.9,355.8,347.85,351.35,70241
2024-12-26,352.25,353.9,350.05,352.1,46962
2024-12-27,352.25,355.65,350.65,352.75,49098
2024-12-30,349.5,353.45,346.0,348.2,56285
2024-12-31,345.9,351.45,345.9,350.25,44025
2025-01-01,348.0,354.4,347.65,353.35,35072
2025-01-02,356.7,359.0,351.65,356.8,63413
2025-01-03,353.8,359.9,351.2,352.8,54117
2025-01-06,352.8,358.35,346.8,349.75,245788
2025-01-07,355.05,362.0,351.1,355.2,286422
2025-01-08,355.2,359.0,348.2,354.95,107361
2025-01-09,351.7,356.15,349.95,353.95,259996
2025-01-10,352.1,352.4,344.85,346.5,404651
2025-01-13,344.5,346.9,339.05,342.3,241857
2025-01-14,339.2,344.55,336.0,341.4,72738
2025-01-15,342.5,352.7,341.25,345.0,168228
2025-01-16,346.0,352.5,344.75,349.3,169273
2025-01-17,347.8,354.8,346.35,349.95,71371
2025-01-20,349.95,354.0,348.5,352.5,33774
2025-01-21,350.95,355.0,350.05,353.5,60173
2025-01-22,352.2,355.95,330.1,352.7,555071
2025-01-23,353.95,358.8,330.55,355.8,625643
2025-01-24,350.5,354.4,347.5,350.75,110236
2025-01-27,350.75,350.75,339.95,344.5,148678
2025-01-28,344.9,344.9,331.55,333.15,125486
2025-01-29,333.0,353.35,333.0,347.35,714160
2025-01-30,347.55,351.0,344.15,346.75,51824
2025-01-31,347.55,353.75,347.05,350.5,73888
2025-02-01,351.2,351.2,340.35,344.9,36799
2025-02-03,339.35,353.9,339.15,353.1,124584
2025-02-04,352.45,354.0,348.9,352.25,52449
2025-02-05,352.25,359.5,348.1,355.4,95963
2025-02-06,354.4,368.0,351.95,365.05,391280
2025-02-07,365.5,367.65,355.0,359.5,274904
2025-02-10,358.9,358.9,346.35,347.9,43522
2025-02-11,347.1,348.8,335.0,336.8,47291
2025-02-12,336.8,338.5,323.9,328.65,92226
2025-02-13,328.0,332.7,326.0,328.85,74943
2025-02-14,329.65,331.35,307.75,311.7,301848
2025-02-17,305.7,322.4,305.7,319.5,695675
2025-02-18,314.7,318.2,304.8,311.7,154275
