Symbol,Volatility,TrendStrength,Noise,MA_Type,MA_Pair,Return,WinRate,Sharpe,MaxDD,Trades
ICICIBANK.NS,1.3,0.79,95.92,SMA,50/200,0.0,0.0,-0.52,-6.12,0
ITC.NS,2.31,20.13,23.21,EMA,12/26,0.0,0.0,-3.9,-22.97,0
MARUTI.NS,1.22,5.59,71.34,EMA,50/100,3.29,100.0,-0.95,-8.8,1
TATASTEEL.NS,1.6,8.43,65.99,EMA,10/20,5.54,100.0,1.23,-13.24,1
3MINDIA.NS,1.79,2.94,89.46,SMA,10/20,0.0,0.0,1.49,-8.27,0
ABB.NS,1.6,9.73,54.41,EMA,50/200,0.0,0.0,-1.82,-11.46,0
ACC.NS,1.03,1.31,91.51,SMA,12/26,0.0,0.0,-1.63,-11.33,0
ACMESOLAR.NS,1.42,13.87,45.39,EMA,10/20,1.68,100.0,-5.61,-30.6,1
AIAENG.NS,1.67,4.6,83.24,SMA,20/50,0.0,0.0,1.44,-9.01,0
APLAPOLLO.NS,1.32,1.08,94.79,SMA,12/26,3.13,100.0,1.26,-5.9,1
AUBANK.NS,1.64,2.14,89.83,SMA,10/20,0.0,0.0,2.77,-4.24,0
AWL.NS,0.9,11.83,33.74,EMA,10/20,1.7,100.0,-4.79,-24.74,1
AADHARHFC.NS,1.37,3.31,83.63,SMA,20/50,0.0,0.0,-1.86,-10.06,0
AARTIIND.NS,1.19,10.46,48.5,EMA,20/50,0.0,0.0,-1.58,-14.38,0
AAVAS.NS,0.83,8.18,37.33,EMA,20/50,0.0,0.0,-2.06,-20.25,0
ABBOTINDIA.NS,1.02,3.3,79.95,SMA,10/20,0.12,50.0,-1.84,-8.98,2
ACE.NS,1.68,17.34,43.58,EMA,10/20,0.0,0.0,-4.38,-28.9,0
ADANIENSOL.NS,1.75,9.58,67.89,EMA,12/26,0.0,0.0,-0.48,-16.3,0
ADANIENT.NS,1.33,8.57,56.37,EMA,10/20,0.0,0.0,-3.35,-20.3,0
ADANIGREEN.NS,1.47,13.43,39.07,EMA,10/20,-2.59,0.0,-2.22,-22.93,1
ADANIPORTS.NS,1.02,7.74,51.79,EMA,50/100,2.94,100.0,-1.64,-10.64,1
ADANIPOWER.NS,1.55,3.86,82.63,SMA,10/20,1.88,100.0,-4.43,-22.62,1
ATGL.NS,1.45,6.56,66.32,EMA,10/20,-1.21,0.0,-3.67,-17.3,1
ABCAPITAL.NS,1.21,0.33,98.14,SMA,20/50,0.0,0.0,2.14,-5.44,0
ABFRL.NS,1.88,16.94,41.15,EMA,50/200,0.0,0.0,-2.91,-24.2,0
ABLBL.NS,1.52,5.45,77.17,SMA,10/20,0.0,0.0,-2.75,-19.18,0
ABREL.NS,2.07,20.66,37.18,EMA,12/26,0.0,0.0,-1.96,-28.75,0
ABSLAMC.NS,2.54,1.07,97.25,SMA,10/20,4.86,100.0,-1.67,-17.6,1
