Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_Fast,MA_Slow,Signal,Crossover
2025-01-21 00:00:00+05:30,2352.1925353504407,2382.302146334623,2272.182595343289,2289.181640625,103497,0.0,0.0,2289.181640625,2289.181640625,0,
2025-01-22 00:00:00+05:30,2282.651314311017,2284.34618034148,2143.5686070184256,2193.369140625,144877,0.0,0.0,2271.761186079545,2280.056640625,-1,-1.0
2025-01-23 00:00:00+05:30,2195.662219499551,2256.529644047408,2163.508691708037,2177.716064453125,133439,0.0,0.0,2254.6620730565596,2270.309919084821,-1,0.0
2025-01-24 00:00:00+05:30,2182.8010362915948,2206.130941883094,2089.7800783890166,2100.04931640625,122410,0.0,0.0,2226.5506627565032,2254.094623591624,-1,0.0
2025-01-27 00:00:00+05:30,2088.7330152723525,2091.424889808065,1965.1039489746092,1974.0770263671875,206079,0.0,0.0,2180.646365231173,2227.4262809988204,-1,0.0
2025-01-28 00:00:00+05:30,1979.4609531909373,2110.368112946122,1885.6922431014343,2059.81982421875,326768,0.0,0.0,2158.677903228914,2211.46376130548,-1,0.0
2025-01-29 00:00:00+05:30,2023.9274450385988,2117.197647653349,2023.9274450385988,2095.761962890625,109527,0.0,0.0,2147.238641349225,2200.444542408827,-1,0.0
2025-01-30 00:00:00+05:30,2099.201730296158,2178.3144647056424,2098.70322596695,2123.229736328125,114917,0.0,0.0,2142.873385890843,2193.090751353522,-1,0.0
2025-01-31 00:00:00+05:30,2111.66416162787,2218.344079141648,2102.790882675422,2200.796630859375,140531,0.0,0.0,2153.4048849760306,2193.824644639794,-1,0.0
2025-02-01 00:00:00+05:30,2214.406071022988,2326.0211387052877,2055.8317994043305,2093.91748046875,321346,0.0,0.0,2142.5889932474342,2184.309676623504,-1,0.0
2025-02-03 00:00:00+05:30,2073.7778876843245,2126.918494738296,1987.5865429095052,1994.216552734375,189417,0.0,0.0,2115.6121858814236,2166.205569586444,-1,0.0
2025-02-04 00:00:00+05:30,2003.9374607983957,2041.026255109418,1961.664391963375,2018.6932373046875,158237,0.0,0.0,2097.9905588674715,2152.1567760358007,-1,0.0
2025-02-05 00:00:00+05:30,2019.6902504133543,2076.768994994949,2014.9544593782,2021.1358642578125,124786,0.0,0.0,2084.016978029352,2139.6785939617066,-1,0.0
2025-02-06 00:00:00+05:30,1994.0172556786565,2005.482854898809,1952.1428933094048,1958.0252685546875,204969,0.0,0.0,2061.1093944885033,2122.3782772562763,-1,0.0
2025-02-07 00:00:00+05:30,1944.1668048159931,1948.653343596338,1904.286460101819,1919.042236328125,137946,0.0,0.0,2035.279002095707,2103.012940025024,-1,0.0
2025-02-10 00:00:00+05:30,1914.3063981994533,1935.8915368797336,1856.430000677788,1863.857666015625,139770,0.0,0.0,2004.111486444783,2080.236247262224,-1,0.0
2025-02-11 00:00:00+05:30,1863.857701623745,1868.743068165155,1755.5328132590564,1761.4649658203125,249498,0.0,0.0,1959.9939372403337,2049.8770776010897,-1,0.0
2025-02-12 00:00:00+05:30,1744.7650829137924,1778.3642246855566,1636.1410425767351,1713.90771484375,478061,0.0,0.0,1915.250987713682,2017.879995433724,-1,0.0
2025-02-13 00:00:00+05:30,1695.9615513339886,1783.349258977033,1667.5468058382182,1678.2646484375,272567,0.0,0.0,1872.1625623907398,1985.5356766721789,-1,0.0
2025-02-14 00:00:00+05:30,1691.0262506932652,1699.0522185510968,1595.2137492216686,1601.19580078125,223348,0.0,0.0,1822.8958784617416,1948.931878968281,-1,0.0
2025-02-17 00:00:00+05:30,1604.9346813092627,1620.487991975794,1505.632643678931,1513.9576416015625,420948,0.0,0.0,1766.725289941709,1907.5057611238317,-1,0.0
2025-02-18 00:00:00+05:30,1520.4380855945458,1542.820879549599,1407.9754690075256,1419.490966796875,455016,0.0,0.0,1703.5917766426483,1861.0281616641216,-1,0.0
2025-02-19 00:00:00+05:30,1417.7462737480434,1627.666489756161,1401.195954809034,1540.228759765625,3170630,0.0,0.0,1673.8894099377349,1830.4758376737886,-1,0.0
2025-02-20 00:00:00+05:30,1537.3872844726266,1614.1569478347485,1513.060249923339,1571.38525390625,554844,0.0,0.0,1655.252290659283,1805.8005439816422,-1,0.0
2025-02-21 00:00:00+05:30,1565.2535806861908,1684.894610989188,1533.4491041614306,1548.9525146484375,945626,0.0,0.0,1635.925058657311,1781.3388269022894,-1,0.0
2025-02-24 00:00:00+05:30,1535.3932630770855,1683.9475463228555,1496.5099271939646,1637.9854736328125,4145046,0.0,0.0,1636.2996795619474,1767.6861265909106,-1,0.0
2025-02-25 00:00:00+05:30,1635.4430512158638,1651.84391589495,1587.2377092002168,1603.23974609375,528027,0.0,0.0,1630.2887825677294,1752.0245665435618,-1,0.0
2025-02-27 00:00:00+05:30,1608.174960757666,1614.1570126885688,1505.4830692771702,1515.95166015625,418407,0.0,0.0,1609.5002148565513,1729.5414326019131,-1,0.0
2025-02-28 00:00:00+05:30,1494.6654482932845,1528.065235974571,1410.8170504254729,1433.4490966796875,876478,0.0,0.0,1577.4909206425762,1701.3421625140822,-1,0.0
2025-03-03 00:00:00+05:30,1433.6984288693773,1459.620653591633,1347.1082525516426,1429.6107177734375,757831,0.0,0.0,1550.6036110300054,1675.4629773006875,-1,0.0
2025-03-04 00:00:00+05:30,1395.8120438847795,1458.1250815582073,1381.3554191445444,1407.3773193359375,892244,0.0,0.0,1524.5624670856291,1649.9310098754731,-1,0.0
2025-03-05 00:00:00+05:30,1408.1251422941482,1460.6176720505102,1387.8360406104507,1410.817138671875,814104,0.0,0.0,1503.8814982831284,1627.1582602370352,-1,0.0
2025-03-06 00:00:00+05:30,1420.787133890163,1457.576653342421,1400.8469621739691,1416.848876953125,520069,0.0,0.0,1488.0573853140368,1607.1287951623772,-1,0.0
2025-03-07 00:00:00+05:30,1416.848914147677,1684.8448777307055,1413.2597074855698,1623.3792724609375,11515983,0.0,0.0,1512.6613647952913,1608.6764596670018,-1,0.0
2025-03-10 00:00:00+05:30,1636.1908566847965,1699.8997331966584,1575.273653050276,1626.12109375,7416889,0.0,0.0,1533.29040642342,1610.337853389192,-1,0.0
2025-03-11 00:00:00+05:30,1593.219743376506,1630.308414627866,1546.5099147906344,1577.3175048828125,2372363,0.0,0.0,1541.295333416037,1607.1930582933464,-1,0.0
2025-03-12 00:00:00+05:30,1595.1638797571736,1641.0761750123318,1561.714313854589,1581.5548095703125,1536971,0.0,0.0,1548.6152381713598,1604.751320319724,-1,0.0
