Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_Fast,MA_Slow,Signal,Crossover
2025-01-21 00:00:00+05:30,1281.1543624930607,1294.3081515153249,1244.871312439389,1249.4189453125,366115,0.0,0.0,1249.4189453125,1249.4189453125,0,
2025-01-22 00:00:00+05:30,1256.0203133135788,1259.1987497093369,1226.6319536552346,1252.010498046875,282925,0.0,0.0,1249.89013671875,1249.665759858631,1,1.0
2025-01-23 00:00:00+05:30,1254.699894191829,1286.533203654355,1236.2161603179716,1283.990478515625,361497,0.0,0.0,1256.0901988636363,1252.9347806831067,1,0.0
2025-01-24 00:00:00+05:30,1285.0663253974817,1291.6676935074,1246.7295390898696,1250.299072265625,425143,0.0,0.0,1255.0372667549068,1252.6837608338228,1,0.0
2025-01-27 00:00:00+05:30,1240.0791354748558,1258.1228259313004,1220.5684744322814,1230.5927734375,720339,0.0,0.0,1250.592813424469,1250.579857272268,1,0.0
2025-01-28 00:00:00+05:30,1230.788386742301,1259.6388097926767,1212.2557051120448,1249.81005859375,594153,0.0,0.0,1250.4504943643383,1250.5065431124092,-1,-2.0
2025-01-29 00:00:00+05:30,1256.802626500149,1309.515795544549,1229.8103905132714,1239.2967529296875,2632069,0.0,0.0,1248.42254137622,1249.438944047388,-1,0.0
2025-01-30 00:00:00+05:30,1242.6219054581586,1307.510882849866,1233.4778123510994,1274.7974853515625,2232617,0.0,0.0,1253.217985735373,1251.8540432192142,1,2.0
2025-01-31 00:00:00+05:30,1281.0566234363912,1354.9429752719236,1274.7975246403155,1349.46630859375,1596163,0.0,0.0,1270.7176808005324,1261.1504494453604,1,0.0
2025-02-01 00:00:00+05:30,1339.344181845394,1351.617883838694,1301.056224621531,1343.256103515625,513716,0.0,0.0,1283.9064849305491,1268.9700355472905,1,0.0
2025-02-03 00:00:00+05:30,1327.0265492369049,1330.9235715654304,1271.8261998604487,1301.1282958984375,537164,12.0,0.0,1287.037723288347,1272.0327270093046,1,0.0
2025-02-04 00:00:00+05:30,1303.8907305851203,1321.9455614545504,1293.4821712918554,1319.6270751953125,246796,0.0,0.0,1292.9630599987042,1276.5655220746387,1,0.0
2025-02-05 00:00:00+05:30,1323.573534988108,1357.8578916403355,1312.474282834509,1330.479736328125,666704,0.0,0.0,1299.7842738767808,1281.7002091463994,1,0.0
2025-02-06 00:00:00+05:30,1333.8833957275529,1345.6239615372203,1304.2853913844858,1324.0667724609375,252596,0.0,0.0,1304.1992736193547,1285.7351199382601,1,0.0
