Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-21 00:00:00+05:30,924.9000244140625,926.4000244140625,895.9500122070312,898.5,81787,0.0,0.0
2025-01-22 00:00:00+05:30,898.7999877929688,898.7999877929688,869.0499877929688,879.5999755859375,57706,0.0,0.0
2025-01-23 00:00:00+05:30,872.5,905.9500122070312,872.0499877929688,883.75,90603,0.0,0.0
2025-01-24 00:00:00+05:30,885.5499877929688,894.5,852.0,856.25,71420,0.0,0.0
2025-01-27 00:00:00+05:30,835.0,853.9000244140625,815.0,839.2999877929688,88214,0.0,0.0
2025-01-28 00:00:00+05:30,835.0,845.0,805.75,834.0,81006,0.0,0.0
2025-01-29 00:00:00+05:30,836.7999877929688,884.0,836.7999877929688,876.0999755859375,100591,0.0,0.0
2025-01-30 00:00:00+05:30,865.0,919.5499877929688,858.2000122070312,879.3499755859375,124982,0.0,0.0
2025-01-31 00:00:00+05:30,892.25,907.4500122070312,877.2000122070312,890.5499877929688,67312,0.0,0.0
2025-02-01 00:00:00+05:30,898.5999755859375,934.2000122070312,877.8499755859375,920.5999755859375,127020,0.0,0.0
2025-02-03 00:00:00+05:30,925.0,929.9500122070312,895.1500244140625,904.7999877929688,155292,0.0,0.0
2025-02-04 00:00:00+05:30,905.0,909.4500122070312,878.1500244140625,890.4500122070312,82516,0.0,0.0
2025-02-05 00:00:00+05:30,890.9000244140625,910.5499877929688,882.0,885.2999877929688,74489,0.0,0.0
2025-02-06 00:00:00+05:30,890.0499877929688,896.9500122070312,877.7999877929688,888.0,77472,0.0,0.0
2025-02-07 00:00:00+05:30,884.0,889.0,870.4500122070312,882.5999755859375,34980,0.0,0.0
2025-02-10 00:00:00+05:30,882.5999755859375,883.5,846.0,854.4500122070312,53593,0.0,0.0
2025-02-11 00:00:00+05:30,847.0,852.1500244140625,827.25,835.6500244140625,80703,0.0,0.0
2025-02-12 00:00:00+05:30,839.6500244140625,839.6500244140625,808.2999877929688,812.6500244140625,69398,0.0,0.0
2025-02-13 00:00:00+05:30,830.0,893.0,811.1500244140625,824.9000244140625,2112229,0.0,0.0
2025-02-14 00:00:00+05:30,830.9000244140625,834.7999877929688,792.4500122070312,800.7000122070312,168559,0.0,0.0
2025-02-17 00:00:00+05:30,786.25,855.5499877929688,766.0,824.9500122070312,494121,0.0,0.0
2025-02-18 00:00:00+05:30,818.0,847.0,817.5,841.5,525076,0.0,0.0
2025-02-19 00:00:00+05:30,841.5,864.7999877929688,834.1500244140625,861.3499755859375,102084,0.0,0.0
2025-02-20 00:00:00+05:30,859.3499755859375,1033.5999755859375,854.0499877929688,1011.75,5621693,0.0,0.0
2025-02-21 00:00:00+05:30,990.0,1194.0,976.3499755859375,1131.5,23359198,0.0,0.0
2025-02-24 00:00:00+05:30,1098.0,1131.5,1075.050048828125,1101.800048828125,2728331,0.0,0.0
2025-02-25 00:00:00+05:30,1089.949951171875,1133.199951171875,1085.199951171875,1112.8499755859375,590801,0.0,0.0
2025-02-27 00:00:00+05:30,1096.050048828125,1120.199951171875,1086.0999755859375,1100.449951171875,895859,0.0,0.0
2025-02-28 00:00:00+05:30,1094.0999755859375,1112.3499755859375,1058.0,1097.5999755859375,572254,0.0,0.0
2025-03-03 00:00:00+05:30,1092.300048828125,1116.4000244140625,1090.0,1103.449951171875,219222,0.0,0.0
2025-03-04 00:00:00+05:30,1090.550048828125,1107.800048828125,1085.0,1101.5,114949,0.0,0.0
2025-03-05 00:00:00+05:30,996.0,1119.199951171875,996.0,1108.699951171875,181119,0.0,0.0
2025-03-06 00:00:00+05:30,1119.9000244140625,1119.9000244140625,1096.6500244140625,1100.4000244140625,106017,0.0,0.0
2025-03-07 00:00:00+05:30,1100.4000244140625,1127.0,1096.550048828125,1109.800048828125,623395,0.0,0.0
2025-03-10 00:00:00+05:30,1109.800048828125,1174.449951171875,1099.949951171875,1152.6500244140625,2127128,0.0,0.0
2025-03-11 00:00:00+05:30,1129.5999755859375,1164.5,1090.25,1124.5999755859375,2160969,0.0,0.0
2025-03-12 00:00:00+05:30,1123.800048828125,1153.9000244140625,1112.199951171875,1128.5,1936179,0.0,0.0
2025-03-13 00:00:00+05:30,1122.0,1155.0,1102.550048828125,1149.050048828125,252699,0.0,0.0
2025-03-17 00:00:00+05:30,1161.75,1174.199951171875,1115.199951171875,1140.199951171875,250658,0.0,0.0
2025-03-18 00:00:00+05:30,1140.199951171875,1140.199951171875,1140.199951171875,1140.199951171875,0,0.0,0.0
