Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-21 00:00:00+05:30,116.98236080538938,118.08074585390642,111.99591130610632,112.7443618774414,1987899,0.0,0.0
2025-01-22 00:00:00+05:30,113.13317083012471,113.95938462067689,107.94259843477379,110.15879821777344,2331200,0.0,0.0
2025-01-23 00:00:00+05:30,109.9838315294835,113.05540436738978,109.59502286982351,111.0724868774414,1596357,0.0,0.0
2025-01-24 00:00:00+05:30,111.29605780282564,112.25835351872755,106.92197692847878,107.27190399169922,1886847,0.0,0.0
2025-01-27 00:00:00+05:30,105.17233585505267,105.92079380548888,102.54789044047487,104.58912658691406,2106130,0.0,0.0
2025-01-28 00:00:00+05:30,104.73493445659531,106.33876556254621,100.18589013901358,104.09339904785156,3593236,0.0,0.0
2025-01-29 00:00:00+05:30,99.44715644999602,107.7870724386117,92.61387128597644,105.64863586425781,21697851,0.0,0.0
2025-01-30 00:00:00+05:30,105.65835167045807,106.87337414788243,102.72286062800066,103.8115234375,3513585,0.0,0.0
2025-01-31 00:00:00+05:30,104.005925794486,107.84539392053576,103.62683936850777,106.99002075195312,3457856,0.0,0.0
2025-02-01 00:00:00+05:30,106.83449832197614,111.68486590127715,105.94995841229246,109.1673355102539,2783012,0.0,0.0
2025-02-03 00:00:00+05:30,107.01917912325666,107.79679648094759,103.13110716661949,103.92816162109375,2937078,0.0,0.0
2025-02-04 00:00:00+05:30,103.92815846137921,106.06660242206007,102.5478947385551,104.81269836425781,2841961,0.0,0.0
2025-02-05 00:00:00+05:30,105.46394682070272,106.8733698717589,104.32668760715462,105.90135192871094,2017092,0.0,0.0
2025-02-06 00:00:00+05:30,106.92197472224063,107.73846624230168,104.78353819415919,107.31078338623047,2231922,0.0,0.0
2025-02-07 00:00:00+05:30,107.89399445391446,115.45629305882363,107.89399445391446,114.0663070678711,17343645,0.0,0.0
2025-02-10 00:00:00+05:30,113.72610002606768,114.11490868882566,104.97793848560094,105.6583480834961,5244796,0.0,0.0
2025-02-11 00:00:00+05:30,104.0350779051393,105.23066322254213,99.13610664596851,100.19561004638672,3980518,0.0,0.0
